image,model,psnr,ssim,edge_mae,lpips,checkpoint
baboon,Bicubic,21.113585330643684,0.8487789034843445,0.09777650376887388,0.6312655210494995,none
baboon,SRCNN_x4_V4,21.28484159692754,0.8585672974586487,0.09594178761062751,0.5808025598526001,./srcnn_v4/srcnn_x4.pth
baboon,Weighted_Loss,21.289741570519777,0.8588175177574158,0.0959084441008654,0.5807712078094482,./srcnn_adaptive/srcnn_x4_adaptive.pth
baboon,3Region_Thr,21.303002783991584,0.8603829145431519,0.09556877173040312,0.5916024446487427,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region.pth
baboon,3Region_Edge12,21.299973050333584,0.8606056571006775,0.09558224679425463,0.5942515730857849,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_ponderi.pth
baboon,3Region_Thr1035,21.31212766705115,0.8606228232383728,0.09548897153657793,0.5895472764968872,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr1035.pth
baboon,3Region_Thr2055_Edge12,21.28905849586694,0.8602983355522156,0.09570948999856493,0.5941879153251648,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr2055_edge12.pth
barbara,Bicubic,23.827667272575788,0.940214216709137,0.07539000607319828,0.45976343750953674,none
barbara,SRCNN_x4_V4,24.181022695856967,0.94599449634552,0.07241831038417608,0.39583876729011536,./srcnn_v4/srcnn_x4.pth
barbara,Weighted_Loss,24.194848717461554,0.9461567997932434,0.07210887214293996,0.3950765132904053,./srcnn_adaptive/srcnn_x4_adaptive.pth
barbara,3Region_Thr,24.168880882999822,0.9465076923370361,0.07211907017804696,0.40728890895843506,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region.pth
barbara,3Region_Edge12,24.169458697912756,0.9466179013252258,0.07198120381363574,0.40986543893814087,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_ponderi.pth
barbara,3Region_Thr1035,24.202686341472027,0.9468873143196106,0.07193741767770344,0.40626803040504456,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr1035.pth
barbara,3Region_Thr2055_Edge12,24.13942829277689,0.9462580680847168,0.07226025761310158,0.41136130690574646,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr2055_edge12.pth
bridge,Bicubic,23.141096215193677,0.9435284733772278,0.09843208757500459,0.6015338897705078,none
bridge,SRCNN_x4_V4,23.45829702424978,0.9486926198005676,0.09456031606414896,0.5022270083427429,./srcnn_v4/srcnn_x4.pth
bridge,Weighted_Loss,23.46394359996449,0.9487748742103577,0.0944773315116572,0.5048753023147583,./srcnn_adaptive/srcnn_x4_adaptive.pth
bridge,3Region_Thr,23.474101130798392,0.9494877457618713,0.09270904306179004,0.5252845287322998,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region.pth
bridge,3Region_Edge12,23.4668042391192,0.949506938457489,0.09270227976708502,0.5306118726730347,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_ponderi.pth
bridge,3Region_Thr1035,23.50767770005699,0.949802041053772,0.09270399742923231,0.5186222791671753,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr1035.pth
bridge,3Region_Thr2055_Edge12,23.43343041626483,0.9491634368896484,0.09292169321408941,0.5324068069458008,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr2055_edge12.pth
coastguard,Bicubic,24.150854118640922,0.9523607492446899,0.0971041640794346,0.5759949684143066,none
