image,variant_bicubic,gt_bicubic,tp_bicubic,fp_bicubic,fn_bicubic,precision_bicubic,recall_bicubic,f1_bicubic,variant_detectionaware,gt_detectionaware,tp_detectionaware,fp_detectionaware,fn_detectionaware,precision_detectionaware,recall_detectionaware,f1_detectionaware,f1_gain,tp_gain,fp_reduction
000000134886.jpg,Bicubic,12,3,3,9,0.5,0.25,0.3333333333333333,DetectionAware_Thr1035_Beta15,12,5,2,7,0.7142857142857143,0.4166666666666667,0.5263157894736842,0.19298245614035087,2,1
000000130386.jpg,Bicubic,12,3,3,9,0.5,0.25,0.3333333333333333,DetectionAware_Thr1035_Beta15,12,5,3,7,0.625,0.4166666666666667,0.5,0.16666666666666669,2,0
000000182441.jpg,Bicubic,26,2,4,24,0.3333333333333333,0.07692307692307693,0.125,DetectionAware_Thr1035_Beta15,26,4,3,22,0.5714285714285714,0.15384615384615385,0.24242424242424246,0.11742424242424246,2,1
000000128699.jpg,Bicubic,13,6,5,7,0.5454545454545454,0.46153846153846156,0.4999999999999999,DetectionAware_Thr1035_Beta15,13,7,3,6,0.7,0.5384615384615384,0.608695652173913,0.10869565217391308,1,2
000000159399.jpg,Bicubic,9,5,6,4,0.45454545454545453,0.5555555555555556,0.5,DetectionAware_Thr1035_Beta15,9,6,5,3,0.5454545454545454,0.6666666666666666,0.6,0.09999999999999998,1,1
000000045596.jpg,Bicubic,12,1,5,11,0.16666666666666666,0.08333333333333333,0.1111111111111111,DetectionAware_Thr1035_Beta15,12,2,5,10,0.2857142857142857,0.16666666666666666,0.2105263157894737,0.0994152046783626,1,0
000000159791.jpg,Bicubic,15,3,3,12,0.5,0.2,0.28571428571428575,DetectionAware_Thr1035_Beta15,15,4,2,11,0.6666666666666666,0.26666666666666666,0.3809523809523809,0.09523809523809512,1,1
000000154004.jpg,Bicubic,14,6,5,8,0.5454545454545454,0.42857142857142855,0.4799999999999999,DetectionAware_Thr1035_Beta15,14,8,6,6,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.09142857142857147,2,-1
000000107851.jpg,Bicubic,17,2,4,15,0.3333333333333333,0.11764705882352941,0.1739130434782609,DetectionAware_Thr1035_Beta15,17,3,4,14,0.42857142857142855,0.17647058823529413,0.25,0.07608695652173911,1,0
000000148999.jpg,Bicubic,16,3,9,13,0.25,0.1875,0.21428571428571427,DetectionAware_Thr1035_Beta15,16,4,8,12,0.3333333333333333,0.25,0.28571428571428575,0.07142857142857148,1,1
000000089556.jpg,Bicubic,15,5,10,10,0.3333333333333333,0.3333333333333333,0.3333333333333333,DetectionAware_Thr1035_Beta15,15,6,9,9,0.4,0.4,0.4000000000000001,0.06666666666666676,1,1
000000060932.jpg,Bicubic,17,7,6,10,0.5384615384615384,0.4117647058823529,0.4666666666666667,DetectionAware_Thr1035_Beta15,17,9,8,8,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.06274509803921569,2,-2
000000088462.jpg,Bicubic,16,7,9,9,0.4375,0.4375,0.4375,DetectionAware_Thr1035_Beta15,16,8,8,8,0.5,0.5,0.5,0.0625,1,1
000000001532.jpg,Bicubic,8,4,5,4,0.4444444444444444,0.5,0.47058823529411764,DetectionAware_Thr1035_Beta15,8,5,6,3,0.45454545454545453,0.625,0.5263157894736842,0.05572755417956654,1,-1
000000103548.jpg,Bicubic,19,5,2,14,0.7142857142857143,0.2631578947368421,0.3846153846153846,DetectionAware_Thr1035_Beta15,19,6,3,13,0.6666666666666666,0.3157894736842105,0.42857142857142855,0.043956043956043966,1,-1
000000100723.jpg,Bicubic,17,7,12,10,0.3684210526315789,0.4117647058823529,0.3888888888888889,DetectionAware_Thr1035_Beta15,17,8,12,9,0.4,0.47058823529411764,0.4324324324324324,0.043543543543543506,1,0
000000153011.jpg,Bicubic,25,11,11,14,0.5,0.44,0.46808510638297873,DetectionAware_Thr1035_Beta15,25,12,10,13,0.5454545454545454,0.48,0.5106382978723404,0.04255319148936165,1,1
000000166918.jpg,Bicubic,44,12,24,32,0.3333333333333333,0.2727272727272727,0.3,DetectionAware_Thr1035_Beta15,44,13,20,31,0.3939393939393939,0.29545454545454547,0.3376623376623376,0.03766233766233762,1,4
000000036494.jpg,Bicubic,49,6,11,43,0.35294117647058826,0.12244897959183673,0.18181818181818182,DetectionAware_Thr1035_Beta15,49,7,8,42,0.4666666666666667,0.14285714285714285,0.21874999999999997,0.03693181818181815,1,3
000000151480.jpg,Bicubic,18,11,23,7,0.3235294117647059,0.6111111111111112,0.42307692307692313,DetectionAware_Thr1035_Beta15,18,11,19,7,0.36666666666666664,0.6111111111111112,0.45833333333333326,0.03525641025641013,0,4
000000132587.jpg,Bicubic,10,2,5,8,0.2857142857142857,0.2,0.23529411764705882,DetectionAware_Thr1035_Beta15,10,2,3,8,0.4,0.2,0.26666666666666666,0.03137254901960784,0,2
000000065288.jpg,Bicubic,37,7,14,30,0.3333333333333333,0.1891891891891892,0.24137931034482757,DetectionAware_Thr1035_Beta15,37,8,14,29,0.36363636363636365,0.21621621621621623,0.27118644067796616,0.029807130333138587,1,0
000000174482.jpg,Bicubic,12,6,4,6,0.6,0.5,0.5454545454545454,DetectionAware_Thr1035_Beta15,12,6,3,6,0.6666666666666666,0.5,0.5714285714285715,0.025974025974026094,0,1
000000034417.jpg,Bicubic,20,8,9,12,0.47058823529411764,0.4,0.4324324324324324,DetectionAware_Thr1035_Beta15,20,8,7,12,0.5333333333333333,0.4,0.4571428571428572,0.024710424710424783,0,2
000000169169.jpg,Bicubic,19,10,9,9,0.5263157894736842,0.5263157894736842,0.5263157894736842,DetectionAware_Thr1035_Beta15,19,11,10,8,0.5238095238095238,0.5789473684210527,0.5500000000000002,0.023684210526315974,1,-1
000000019109.jpg,Bicubic,27,18,19,9,0.4864864864864865,0.6666666666666666,0.5625,DetectionAware_Thr1035_Beta15,27,19,19,8,0.5,0.7037037037037037,0.5846153846153846,0.022115384615384648,1,0
000000136715.jpg,Bicubic,20,10,16,10,0.38461538461538464,0.5,0.4347826086956522,DetectionAware_Thr1035_Beta15,20,10,14,10,0.4166666666666667,0.5,0.45454545454545453,0.019762845849802313,0,2
000000065798.jpg,Bicubic,17,4,9,13,0.3076923076923077,0.23529411764705882,0.26666666666666666,DetectionAware_Thr1035_Beta15,17,4,7,13,0.36363636363636365,0.23529411764705882,0.2857142857142857,0.019047619047619035,0,2
000000165681.jpg,Bicubic,28,8,22,20,0.26666666666666666,0.2857142857142857,0.2758620689655172,DetectionAware_Thr1035_Beta15,28,7,13,21,0.35,0.25,0.2916666666666667,0.015804597701149503,-1,9
000000050006.jpg,Bicubic,11,3,6,8,0.3333333333333333,0.2727272727272727,0.3,DetectionAware_Thr1035_Beta15,11,3,5,8,0.375,0.2727272727272727,0.3157894736842105,0.01578947368421052,0,1
000000142238.jpg,Bicubic,14,11,13,3,0.4583333333333333,0.7857142857142857,0.5789473684210527,DetectionAware_Thr1035_Beta15,14,11,12,3,0.4782608695652174,0.7857142857142857,0.5945945945945946,0.015647226173541973,0,1
000000065455.jpg,Bicubic,15,4,5,11,0.4444444444444444,0.26666666666666666,0.33333333333333337,DetectionAware_Thr1035_Beta15,15,4,4,11,0.5,0.26666666666666666,0.3478260869565218,0.014492753623188415,0,1
000000140840.jpg,Bicubic,19,6,7,13,0.46153846153846156,0.3157894736842105,0.37499999999999994,DetectionAware_Thr1035_Beta15,19,6,6,13,0.5,0.3157894736842105,0.3870967741935484,0.012096774193548432,0,1
000000166391.jpg,Bicubic,27,16,10,11,0.6153846153846154,0.5925925925925926,0.6037735849056604,DetectionAware_Thr1035_Beta15,27,16,9,11,0.64,0.5925925925925926,0.6153846153846153,0.011611030478954953,0,1
000000093717.jpg,Bicubic,22,9,10,13,0.47368421052631576,0.4090909090909091,0.43902439024390244,DetectionAware_Thr1035_Beta15,22,9,9,13,0.5,0.4090909090909091,0.45,0.01097560975609757,0,1
000000020571.jpg,Bicubic,12,3,9,9,0.25,0.25,0.25,DetectionAware_Thr1035_Beta15,12,3,8,9,0.2727272727272727,0.25,0.2608695652173913,0.010869565217391297,0,1
000000015517.jpg,Bicubic,13,2,5,11,0.2857142857142857,0.15384615384615385,0.2,DetectionAware_Thr1035_Beta15,13,2,4,11,0.3333333333333333,0.15384615384615385,0.21052631578947367,0.010526315789473661,0,1
000000143572.jpg,Bicubic,14,3,12,11,0.2,0.21428571428571427,0.20689655172413796,DetectionAware_Thr1035_Beta15,14,3,11,11,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.007389162561576318,0,1
