image,image_id,category_id,class_name,bbox,area_group
000000001268.jpg,1268,16,bird,"[192.81, 224.8, 267.54, 258.23]",medium
000000001268.jpg,1268,9,boat,"[124.77, 124.71, 264.31, 141.78]",medium
000000001268.jpg,1268,9,boat,"[0.0, 129.71, 105.44, 144.85000000000002]",medium
000000001268.jpg,1268,1,person,"[23.27, 213.41, 76.8, 282.88]",medium
000000001268.jpg,1268,1,person,"[501.68, 77.66, 640.0, 421.37]",large
000000001268.jpg,1268,1,person,"[402.34, 205.02, 467.59999999999997, 293.47]",medium
000000001268.jpg,1268,1,person,"[0.0, 209.18, 24.95, 289.78]",medium
000000001268.jpg,1268,77,cell phone,"[528.91, 180.52, 558.5899999999999, 199.27]",small
000000001268.jpg,1268,27,backpack,"[21.81, 231.3, 44.36, 282.85]",small
000000001268.jpg,1268,31,handbag,"[492.47, 197.95, 595.54, 424.0]",large
000000001268.jpg,1268,9,boat,"[291.52, 86.03, 413.19, 143.48000000000002]",medium
000000001532.jpg,1532,3,car,"[1.08, 369.65, 119.73, 472.12]",large
000000001532.jpg,1532,3,car,"[501.5, 397.49, 551.34, 443.0]",medium
000000001532.jpg,1532,3,car,"[200.58, 401.5, 233.23000000000002, 427.72]",small
000000001532.jpg,1532,3,car,"[106.19, 375.71, 185.28, 435.29999999999995]",medium
000000001532.jpg,1532,8,truck,"[225.57, 391.21, 245.2, 406.84999999999997]",small
000000001532.jpg,1532,3,car,"[426.34, 399.69, 490.60999999999996, 454.53]",medium
000000001532.jpg,1532,3,car,"[405.73, 402.0, 431.19, 429.82]",small
000000001532.jpg,1532,3,car,"[225.05, 361.7, 420.44, 480.0]",large
000000005037.jpg,5037,6,bus,"[99.33, 20.06, 574.94, 372.47]",large
000000005037.jpg,5037,3,car,"[572.48, 248.07, 600.1, 267.38]",small
000000005037.jpg,5037,1,person,"[28.98, 226.23, 44.16, 246.92999999999998]",small
000000005037.jpg,5037,1,person,"[18.74, 221.13, 30.39, 247.78]",small
000000005037.jpg,5037,1,person,"[9.68, 222.71, 21.6, 246.07]",small
000000005037.jpg,5037,1,person,"[595.57, 242.81, 613.96, 271.37]",small
000000005037.jpg,5037,1,person,"[191.21, 147.31, 244.52, 206.87]",medium
000000005037.jpg,5037,1,person,"[48.31, 223.43, 61.17, 247.78]",small
000000005037.jpg,5037,1,person,"[623.04, 217.15, 640.0, 361.59000000000003]",medium
000000005037.jpg,5037,3,car,"[592.82, 248.46, 603.6800000000001, 261.69]",small
000000006723.jpg,6723,3,car,"[171.76, 203.56, 207.14, 222.96]",small
000000006723.jpg,6723,3,car,"[282.55, 202.06, 302.39, 212.2]",small
000000006723.jpg,6723,3,car,"[332.46, 200.85, 345.04999999999995, 209.91]",small
000000006723.jpg,6723,6,bus,"[361.51, 194.03, 389.18, 224.01]",small
000000006723.jpg,6723,8,truck,"[362.11, 192.66, 389.52000000000004, 223.23]",small
000000006723.jpg,6723,8,truck,"[204.9, 201.04, 242.33, 229.29]",small
000000007816.jpg,7816,4,motorcycle,"[240.72, 152.98, 467.12, 360.27]",large
000000007816.jpg,7816,1,person,"[491.06, 56.27, 519.44, 162.91]",medium
000000007816.jpg,7816,1,person,"[564.4, 59.08, 587.5799999999999, 174.01]",medium
000000007816.jpg,7816,1,person,"[573.48, 53.75, 598.01, 82.4]",small
000000007816.jpg,7816,1,person,"[581.31, 47.32, 621.5, 186.54999999999998]",medium
000000007816.jpg,7816,1,person,"[415.88, 122.97, 479.89, 176.01999999999998]",medium
000000007816.jpg,7816,1,person,"[505.54, 53.01, 544.08, 165.09]",medium
000000007816.jpg,7816,1,person,"[362.4, 107.53, 384.75, 149.13]",small
000000007816.jpg,7816,1,person,"[386.1, 147.28, 419.24, 168.58]",small
000000007816.jpg,7816,1,person,"[244.25, 34.1, 295.07, 144.14000000000001]",medium
000000007816.jpg,7816,1,person,"[271.43, 77.84, 455.84000000000003, 277.27]",large
000000014439.jpg,14439,62,chair,"[76.07, 122.27, 99.97999999999999, 153.75]",small
000000014439.jpg,14439,62,chair,"[98.01, 131.03, 118.35000000000001, 155.82]",small
000000014439.jpg,14439,38,kite,"[163.42, 85.34, 621.89, 340.45000000000005]",large
000000014439.jpg,14439,27,backpack,"[86.84, 156.36, 104.61, 171.65]",small
000000014439.jpg,14439,1,person,"[413.08, 89.88, 507.5, 288.7]",medium
000000014439.jpg,14439,1,person,"[268.64, 89.82, 298.61, 168.95]",medium
000000014439.jpg,14439,1,person,"[279.52, 79.88, 298.0, 112.59]",small
000000014439.jpg,14439,1,person,"[363.69, 57.51, 383.02, 113.77]",small
000000014439.jpg,14439,1,person,"[328.34, 38.55, 347.10999999999996, 79.74]",small
