variant,category_id,class_name,num_gt,num_predictions,AP50,precision,recall
HR,1,person,728,551,0.4965004615797531,0.7295825481414795,0.5521978139877319
HR,2,bicycle,31,11,0.32258063554763794,0.9090909361839294,0.32258063554763794
HR,3,car,162,130,0.4934173030062876,0.6692307591438293,0.5370370149612427
HR,4,motorcycle,46,38,0.5083633226100428,0.6315789222717285,0.52173912525177
HR,5,airplane,5,5,0.6000000238418579,0.6000000238418579,0.6000000238418579
HR,6,bus,31,24,0.5799088443217997,0.7916666865348816,0.6129032373428345
HR,7,train,4,3,0.5,0.6666666865348816,0.5
HR,8,truck,38,12,0.1379585315427332,0.5833333134651184,0.18421052396297455
HR,9,boat,34,10,0.16806722940141428,0.699999988079071,0.20588235557079315
HR,10,traffic light,50,28,0.3860484511224991,0.75,0.41999998688697815
HR,11,fire hydrant,2,2,0.5,0.5,0.5
HR,13,stop sign,2,1,0.0,0.0,0.0
HR,14,parking meter,2,1,0.5,1.0,0.5
HR,15,bench,14,2,0.0,0.0,0.0
HR,16,bird,55,5,0.072727270424366,0.800000011920929,0.072727270424366
HR,18,dog,5,1,0.20000000298023224,1.0,0.20000000298023224
HR,19,horse,4,10,0.02500000037252903,0.10000000149011612,0.25
HR,20,sheep,32,23,0.3721165470778942,0.6521739363670349,0.46875
HR,21,cow,33,16,0.3424242529905204,0.75,0.3636363744735718
HR,22,elephant,4,3,0.75,1.0,0.75
HR,24,zebra,4,4,1.0,1.0,1.0
HR,25,giraffe,2,2,1.0,1.0,1.0
HR,27,backpack,28,3,0.0595238128943103,0.6666666865348816,0.0714285746216774
HR,28,umbrella,25,15,0.2818741389460917,0.6000000238418579,0.36000001430511475
HR,31,handbag,19,5,0.05263157933950424,0.20000000298023224,0.05263157933950424
HR,32,tie,7,4,0.1428571492433548,0.25,0.1428571492433548
HR,33,suitcase,13,16,0.19463870323551857,0.25,0.3076923191547394
HR,35,skis,2,1,0.0,0.0,0.0
HR,37,sports ball,7,2,0.2857142984867096,1.0,0.2857142984867096
HR,38,kite,17,11,0.45751634318065015,0.7272727489471436,0.47058823704719543
HR,39,baseball bat,4,1,0.0,0.0,0.0
HR,40,baseball glove,8,3,0.2083333358168602,0.6666666865348816,0.25
HR,41,skateboard,13,6,0.38461539149284363,0.8333333134651184,0.38461539149284363
HR,42,surfboard,3,5,0.6666666865348816,0.4000000059604645,0.6666666865348816
HR,43,tennis racket,14,4,0.2857142984867096,1.0,0.2857142984867096
HR,44,bottle,11,4,0.09090909361839294,0.5,0.1818181872367859
HR,46,wine glass,13,6,0.11538461595773697,0.5,0.23076923191547394
HR,47,cup,9,6,0.1481481503557276,0.3333333432674408,0.2222222238779068
HR,48,fork,1,0,0.0,0.0,0.0
HR,49,knife,3,0,0.0,0.0,0.0
HR,50,spoon,1,0,0.0,0.0,0.0
HR,51,bowl,3,0,0.0,0.0,0.0
HR,52,banana,2,1,0.5,1.0,0.5
HR,60,donut,13,14,0.7564102694010124,0.7142857313156128,0.7692307829856873
HR,62,chair,49,25,0.21698680458789354,0.5600000023841858,0.2857142984867096
HR,64,potted plant,7,5,0.19047620466777282,0.4000000059604645,0.2857142984867096
HR,67,dining table,21,1,0.0476190485060215,1.0,0.0476190485060215
HR,72,tv,2,1,0.0,0.0,0.0
HR,75,remote,7,0,0.0,0.0,0.0
HR,77,cell phone,2,2,0.0,0.0,0.0
HR,78,microwave,1,1,1.0,1.0,1.0
HR,79,oven,2,1,0.5,1.0,0.5
HR,82,refrigerator,2,2,0.5,0.5,0.5
