variant,category_id,class_name,num_gt,num_predictions,AP50,precision,recall
HR,1,person,283,249,0.6614553450529854,0.7911646366119385,0.6961130499839783
HR,2,bicycle,5,0,0.0,0.0,0.0
HR,3,car,21,14,0.3290043392609725,0.5714285969734192,0.380952388048172
HR,4,motorcycle,3,3,0.5555555787351398,0.6666666865348816,0.6666666865348816
HR,5,airplane,4,4,0.75,0.75,0.75
HR,6,bus,6,6,1.0,1.0,1.0
HR,7,train,2,1,0.5,1.0,0.5
HR,8,truck,8,3,0.125,0.3333333432674408,0.125
HR,9,boat,7,1,0.1428571492433548,1.0,0.1428571492433548
HR,10,traffic light,7,7,0.6666666758911948,0.7142857313156128,0.7142857313156128
HR,11,fire hydrant,2,1,0.5,1.0,0.5
HR,13,stop sign,2,1,0.5,1.0,0.5
HR,15,bench,2,1,0.0,0.0,0.0
HR,16,bird,4,2,0.5,1.0,0.5
HR,17,cat,2,2,1.0,1.0,1.0
HR,18,dog,1,2,0.5,0.5,1.0
HR,19,horse,2,2,1.0,1.0,1.0
HR,20,sheep,6,5,0.8333333134651184,1.0,0.8333333134651184
HR,22,elephant,6,7,0.8333333134651184,0.7142857313156128,0.8333333134651184
HR,23,bear,1,1,1.0,1.0,1.0
HR,24,zebra,2,3,1.0,0.6666666865348816,1.0
HR,27,backpack,9,1,0.1111111119389534,1.0,0.1111111119389534
HR,28,umbrella,2,2,1.0,1.0,1.0
HR,31,handbag,5,3,0.20000000298023224,0.3333333432674408,0.20000000298023224
HR,32,tie,19,6,0.21052631735801697,0.6666666865348816,0.21052631735801697
HR,33,suitcase,2,1,0.5,1.0,0.5
HR,34,frisbee,3,3,1.0,1.0,1.0
HR,35,skis,5,5,0.7600000166893004,0.800000011920929,0.800000011920929
HR,37,sports ball,1,0,0.0,0.0,0.0
HR,38,kite,3,4,0.6666666865348816,0.5,0.6666666865348816
HR,39,baseball bat,2,3,0.8333333432674408,0.6666666865348816,1.0
HR,40,baseball glove,2,1,0.5,1.0,0.5
HR,41,skateboard,2,2,0.25,0.5,0.5
HR,42,surfboard,7,6,0.5142857406820571,0.6666666865348816,0.5714285969734192
HR,43,tennis racket,3,4,1.0,0.75,1.0
HR,44,bottle,17,10,0.18823529762380264,0.4000000059604645,0.23529411852359772
HR,46,wine glass,24,12,0.375,0.75,0.375
HR,47,cup,24,16,0.3952020159875502,0.625,0.4166666567325592
HR,48,fork,4,4,0.4166666716337204,0.5,0.5
HR,49,knife,10,2,0.20000000298023224,1.0,0.20000000298023224
